"ID","ACTIVE","YEAR","COUNTRY_ESP","COUNTRY_ENG","SECTOR_ESP","SECTOR_ENG","STATUS_ESP","STATUS_ENG","COUNTRY","SECTOR","STATUS"
966,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",1,7,5
967,"YES",2018,"Brasil","Brazil","Financiamiento colectivo","Crowdfunding","Lanzado","Launched",3,2,4
968,"YES",2018,"Colombia","Colombia","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Versión beta","Beta version",5,6,3
969,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Lanzado","Launched",3,7,4
970,"YES",2018,"Ecuador","Ecuador","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",7,3,6
971,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Demo/Prototipo","Demo/Prototipo",3,7,2
972,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",3,3,6
973,"YES",2018,"México","Mexico","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",11,5,6
974,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
975,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Listos para escalar","Ready to scale",3,8,5
976,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",11,7,5
977,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",3,8,6
978,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",11,7,3
979,"YES",2018,"Argentina","Argentina","Gestión de finanzas empresariales","Enterprise Financial Management","Lanzado","Launched",1,3,4
980,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
981,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Concepto/Idea","Concepto/Idea",3,10,1
982,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Lanzado","Launched",3,7,4
983,"YES",2018,"Perú","Peru","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",15,4,6
984,"YES",2018,"Paraguay","Paraguay","Gestión de finanzas personales","Personal Financial Management","Listos para escalar","Ready to scale",14,4,5
985,"YES",2018,"Brasil","Brazil","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",3,5,6
986,"YES",2018,"Argentina","Argentina","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Lanzado","Launched",1,11,4
987,"YES",2018,"México","Mexico","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Crecimiento y expansión","Growth & expansion",11,9,6
988,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",11,7,6
989,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",3,7,5
990,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
991,"YES",2018,"Perú","Peru","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",15,3,6
992,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",5,7,5
993,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Listos para escalar","Ready to scale",3,3,5
994,"YES",2018,"Perú","Peru","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Versión beta","Beta version",15,6,3
995,"YES",2018,"Chile","Chile","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Crecimiento y expansión","Growth & expansion",4,9,6
996,"YES",2018,"Honduras","Honduras","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",10,7,6
997,"YES",2018,"Brasil","Brazil","Seguros","Insurance","Crecimiento y expansión","Growth & expansion",3,10,6
998,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",11,7,3
999,"YES",2018,"México","Mexico","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",11,7,6
1000,"YES",2018,"México","Mexico","Financiamiento colectivo","Crowdfunding","Listos para escalar","Ready to scale",11,2,5
1001,"YES",2018,"Argentina","Argentina","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",1,7,6
1002,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Listos para escalar","Ready to scale",5,7,5
1003,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",5,7,3
1004,"YES",2018,"Colombia","Colombia","Préstamos","Lending","Listos para escalar","Ready to scale",5,8,5
1005,"YES",2018,"Brasil","Brazil","Gestión de finanzas empresariales","Enterprise Financial Management","Crecimiento y expansión","Growth & expansion",3,3,6
1006,"YES",2018,"México","Mexico","Gestión de patrimonio","Wealth Management","Crecimiento y expansión","Growth & expansion",11,5,6
1007,"YES",2018,"México","Mexico","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Crecimiento y expansión","Growth & expansion",11,6,6
1008,"YES",2018,"Brasil","Brazil","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Listos para escalar","Ready to scale",3,11,5
1009,"YES",2018,"Colombia","Colombia","Gestión de finanzas personales","Personal Financial Management","Lanzado","Launched",5,4,4
1010,"YES",2018,"Brasil","Brazil","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",3,7,6
1011,"YES",2018,"Colombia","Colombia","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Lanzado","Launched",5,11,4
1012,"YES",2018,"México","Mexico","Tecnología empresarial para instituciones financieras","Enterprise Technologies for Financial Institutions","Lanzado","Launched",11,11,4
1013,"YES",2018,"Colombia","Colombia","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Crecimiento y expansión","Growth & expansion",5,6,6
1014,"YES",2018,"Colombia","Colombia","Gestión de finanzas personales","Personal Financial Management","Crecimiento y expansión","Growth & expansion",5,4,6
1015,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Crecimiento y expansión","Growth & expansion",3,8,6
1016,"YES",2018,"Brasil","Brazil","Gestión de finanzas personales","Personal Financial Management","Versión beta","Beta version",3,4,3
1017,"YES",2018,"Brasil","Brazil","Negociación de activos financieros y mercados de capitales","Trading & Capital Markets","Lanzado","Launched",3,6,4
1018,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",5,7,3
1019,"YES",2018,"Brasil","Brazil","Préstamos","Lending","Versión beta","Beta version",3,8,3
1020,"YES",2018,"México","Mexico","Seguros","Insurance","Lanzado","Launched",11,10,4
1021,"YES",2018,"Colombia","Colombia","Pagos y remesas","Payments & Remittances","Crecimiento y expansión","Growth & expansion",5,7,6
1022,"YES",2018,"Chile","Chile","Préstamos","Lending","Listos para escalar","Ready to scale",4,8,5
1023,"YES",2018,"México","Mexico","Puntaje crediticio, identidad y fraude","Scoring, Identity & Fraud","Lanzado","Launched",11,9,4
1024,"YES",2018,"Colombia","Colombia","Gestión de finanzas personales","Personal Financial Management","Versión beta","Beta version",5,4,3
1025,"YES",2018,"México","Mexico","Gestión de finanzas personales","Personal Financial Management","Lanzado","Launched",11,4,4
1026,"YES",2018,"Argentina","Argentina","Préstamos","Lending","Concepto/Idea","Concepto/Idea",1,8,1
1027,"YES",2018,"Colombia","Colombia","Préstamos","Lending","Listos para escalar","Ready to scale",5,8,5
1028,"YES",2018,"Colombia","Colombia","Gestión de patrimonio","Wealth Management","Versión beta","Beta version",5,5,3
1029,"YES",2018,"Chile","Chile","Pagos y remesas","Payments & Remittances","Versión beta","Beta version",4,7,3
1030,"YES",2018,"Chile","Chile","Gestión de finanzas personales","Personal Financial Management","Listos para escalar","Ready to scale",4,4,5
